Player,Tm,Cmp,Att,Cmp%,Yds,TD,Rate,Int
Derek Carr,OAK,428,626,68.4,4804,23,94,14
Justin Herbert,LAC,443,672,65.9,5014,38,97.7,15
Patrick Mahomes,KAN,436,658,66.3,4839,37,98.5,13
Russell Wilson,DEN,259,400,64.8,3113,25,103.1,6
Josh Allen,BUF,409,646,63.3,4407,36,92.2,15
Mac Jones,NWE,352,521,67.6,3801,22,92.5,13
Tua Tagovailoa,MIA,263,388,67.8,2653,16,90.1,10
Zach Wilson,NYJ,213,383,55.6,2334,9,69.7,11
Jacoby Brissett,CLE,141,225,62.7,1283,5,78.1,4
Joe Burrow,CIN,366,520,70.4,4611,34,108.3,14
Lamar Jackson,BAL,246,382,64.4,2882,16,87,13
Mitchell Trubisky,PIT,199,297,67,2055,16,93.5,8
